COLONNE1    COLONNE2            COLONNE3
NOM         EMAIL               DATE

nom0950,    test0950@me,        2020-11-25 09:50:19
nom0951,    test0951@me,        2020-11-25 09:50:53
test0950,   test0950@me,        2020-11-25 09:55:31
nom0950,    test0950@me,        2020-11-25 09:50:19
nom0951,    test0951@me,        2020-11-25 09:50:53
test0950,   test0950@me,        2020-11-25 09:55:31
nom0950,    test0950@me,        2020-11-25 09:50:19

nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom0950,test0950@me,2020-11-25 09:50:19
nom0951,test0951@me,2020-11-25 09:50:53
test0950,test0950@me,2020-11-25 09:55:31
nom1019,test1019@me,2020-11-26 10:19:21
